merchant_id,merchant_name,category,city,country
1,Merchant 001,Fuel,Antalya,Turkey
2,Merchant 002,Electronics,Izmir,Turkey
3,Merchant 003,Grocery,Bursa,Turkey
4,Merchant 004,Grocery,Izmir,Turkey
5,Merchant 005,Doctor,Istanbul,Turkey
6,Merchant 006,Grocery,KahramanMaraş,Turkey
7,Merchant 007,Electronics,Izmir,Turkey
8,Merchant 008,Restaurant,Izmir,Turkey
9,Merchant 009,Doctor,Ankara,Turkey
10,Merchant 010,Travel,Bursa,Turkey
11,Merchant 011,Restaurant,Bursa,Turkey
12,Merchant 012,Grocery,Bursa,Turkey
13,Merchant 013,Fuel,KahramanMaraş,Turkey
14,Merchant 014,Doctor,Izmir,Turkey
15,Merchant 015,Grocery,Izmir,Turkey
16,Merchant 016,Grocery,KahramanMaraş,Turkey
17,Merchant 017,Grocery,Istanbul,Turkey
18,Merchant 018,Pharmacy,Izmir,Turkey
19,Merchant 019,Fuel,Istanbul,Turkey
20,Merchant 020,Fuel,Ankara,Turkey
21,Merchant 021,Fuel,Ankara,Turkey
22,Merchant 022,Travel,Ankara,Turkey
23,Merchant 023,Travel,Ankara,Turkey
24,Merchant 024,Restaurant,Antalya,Turkey
25,Merchant 025,Doctor,Bursa,Turkey
26,Merchant 026,Electronics,Bursa,Turkey
27,Merchant 027,Fuel,Ankara,Turkey
28,Merchant 028,Electronics,KahramanMaraş,Turkey
29,Merchant 029,Fuel,Bursa,Turkey
30,Merchant 030,Doctor,Istanbul,Turkey
31,Merchant 031,Fuel,Antalya,Turkey
32,Merchant 032,Electronics,Bursa,Turkey
33,Merchant 033,Travel,Bursa,Turkey
34,Merchant 034,Doctor,Istanbul,Turkey
35,Merchant 035,Fuel,Ankara,Turkey
36,Merchant 036,Electronics,Izmir,Turkey
37,Merchant 037,Pharmacy,KahramanMaraş,Turkey
38,Merchant 038,Pharmacy,Istanbul,Turkey
39,Merchant 039,Travel,Istanbul,Turkey
40,Merchant 040,Pharmacy,Antalya,Turkey
41,Merchant 041,Electronics,Izmir,Turkey
42,Merchant 042,Restaurant,Ankara,Turkey
43,Merchant 043,Doctor,Istanbul,Turkey
44,Merchant 044,Restaurant,KahramanMaraş,Turkey
45,Merchant 045,Pharmacy,Bursa,Turkey
46,Merchant 046,Travel,KahramanMaraş,Turkey
47,Merchant 047,Restaurant,Antalya,Turkey
48,Merchant 048,Doctor,Antalya,Turkey
49,Merchant 049,Doctor,Antalya,Turkey
50,Merchant 050,Grocery,Izmir,Turkey
51,Merchant 051,Restaurant,Bursa,Turkey
52,Merchant 052,Travel,Ankara,Turkey
53,Merchant 053,Pharmacy,KahramanMaraş,Turkey
54,Merchant 054,Fuel,Izmir,Turkey
55,Merchant 055,Travel,Antalya,Turkey
56,Merchant 056,Grocery,KahramanMaraş,Turkey
57,Merchant 057,Electronics,Izmir,Turkey
58,Merchant 058,Grocery,Ankara,Turkey
59,Merchant 059,Restaurant,Istanbul,Turkey
60,Merchant 060,Electronics,Izmir,Turkey
61,Merchant 061,Fuel,Ankara,Turkey
62,Merchant 062,Travel,Bursa,Turkey
63,Merchant 063,Doctor,Antalya,Turkey
64,Merchant 064,Electronics,Antalya,Turkey
65,Merchant 065,Doctor,Bursa,Turkey
66,Merchant 066,Electronics,Bursa,Turkey
67,Merchant 067,Fuel,Antalya,Turkey
68,Merchant 068,Fuel,KahramanMaraş,Turkey
69,Merchant 069,Electronics,Antalya,Turkey
70,Merchant 070,Electronics,Bursa,Turkey
71,Merchant 071,Restaurant,Ankara,Turkey
72,Merchant 072,Electronics,Izmir,Turkey
73,Merchant 073,Pharmacy,Bursa,Turkey
74,Merchant 074,Travel,Istanbul,Turkey
75,Merchant 075,Pharmacy,Izmir,Turkey
76,Merchant 076,Grocery,Bursa,Turkey
77,Merchant 077,Electronics,Ankara,Turkey
78,Merchant 078,Pharmacy,Bursa,Turkey
79,Merchant 079,Travel,Antalya,Turkey
80,Merchant 080,Fuel,Bursa,Turkey
81,Merchant 081,Doctor,KahramanMaraş,Turkey
82,Merchant 082,Doctor,Bursa,Turkey
83,Merchant 083,Fuel,Bursa,Turkey
84,Merchant 084,Doctor,Ankara,Turkey
85,Merchant 085,Grocery,Antalya,Turkey
86,Merchant 086,Grocery,Ankara,Turkey
87,Merchant 087,Restaurant,Istanbul,Turkey
88,Merchant 088,Restaurant,Ankara,Turkey
89,Merchant 089,Travel,Izmir,Turkey
90,Merchant 090,Electronics,Bursa,Turkey
91,Merchant 091,Travel,KahramanMaraş,Turkey
92,Merchant 092,Pharmacy,Bursa,Turkey
93,Merchant 093,Travel,Antalya,Turkey
94,Merchant 094,Grocery,Antalya,Turkey
95,Merchant 095,Grocery,Izmir,Turkey
96,Merchant 096,Pharmacy,Antalya,Turkey
97,Merchant 097,Pharmacy,Izmir,Turkey
98,Merchant 098,Travel,Istanbul,Turkey
99,Merchant 099,Pharmacy,KahramanMaraş,Turkey
100,Merchant 100,Doctor,Antalya,Turkey
