transaction_id,customer_id,merchant_id,transaction_date,amount,currency,transaction_type
1,224,55,2025-04-15,5157.2,TRY,transfer
2,770,32,2025-11-01,6126.17,TRY,purchase
3,461,34,2025-12-23,6038.15,TRY,purchase
4,450,16,2025-08-31,1484.95,TRY,transfer
5,603,89,2025-12-26,6030.12,TRY,transfer
6,648,55,2025-06-19,4320.74,TRY,purchase
7,834,27,2025-03-02,3999.12,TRY,transfer
8,288,77,2026-07-06,1195.27,TRY,transfer
9,300,38,2026-08-10,1886.05,TRY,transfer
10,922,87,2025-04-08,966.41,TRY,refund
11,941,8,2025-10-11,6071.99,TRY,purchase
12,719,17,2025-09-13,1040.78,TRY,refund
13,849,32,2026-02-07,3436.42,TRY,transfer
14,648,35,2026-03-01,2638.7,TRY,purchase
15,649,99,2025-04-06,2831.9,TRY,transfer
16,285,89,2026-01-13,3193.78,TRY,refund
17,336,75,2025-01-03,6084.98,TRY,transfer
18,96,94,2026-04-15,4451.19,TRY,transfer
19,367,9,2026-07-02,2796.06,TRY,refund
20,845,28,2026-05-22,1894.39,TRY,refund
21,346,71,2026-08-15,931.55,TRY,refund
22,808,44,2025-02-19,340.68,TRY,transfer
23,803,59,2025-01-17,887.18,TRY,purchase
24,452,59,2025-01-01,6943.03,TRY,refund
25,208,89,2025-05-16,6177.39,TRY,refund
26,163,36,2025-04-06,4589.02,TRY,refund
27,85,48,2025-06-19,381.48,TRY,transfer
28,313,93,2025-08-28,3016.03,TRY,purchase
29,721,13,2025-01-02,1509.68,TRY,purchase
30,136,76,2025-08-20,3645.72,TRY,refund
31,10,2,2025-12-18,5723.42,TRY,refund
32,711,17,2026-05-05,514.38,TRY,refund
33,92,94,2025-04-15,740.35,TRY,refund
34,903,39,2025-05-21,2691.39,TRY,purchase
35,657,87,2025-05-27,497.51,TRY,transfer
36,9,79,2025-06-18,3091.89,TRY,transfer
37,219,81,2025-06-05,6440.86,TRY,transfer
38,704,57,2025-08-11,625.08,TRY,purchase
39,144,97,2025-05-07,4135.23,TRY,refund
40,360,55,2025-11-19,5541.72,TRY,purchase
41,284,83,2025-03-28,1752.21,TRY,transfer
42,615,93,2025-10-19,5457.21,TRY,transfer
43,28,85,2025-11-05,1454.01,TRY,transfer
44,522,25,2026-02-06,2082.88,TRY,purchase
45,803,31,2026-05-22,2713.48,TRY,purchase
46,512,82,2026-09-01,515.66,TRY,purchase
47,370,41,2025-05-16,2720.13,TRY,transfer
48,431,47,2026-07-14,4786.94,TRY,refund
49,978,99,2025-03-16,136.49,TRY,purchase
50,15,34,2025-08-09,297.99,TRY,purchase
51,972,51,2026-06-03,2019.68,TRY,transfer
52,514,99,2026-03-02,2976.56,TRY,refund
53,85,82,2026-07-04,3772.83,TRY,purchase
54,285,11,2025-11-14,571.57,TRY,purchase
55,998,20,2026-07-04,2300.72,TRY,transfer
56,650,98,2025-03-09,2184.98,TRY,refund
57,748,31,2025-03-01,1726.47,TRY,refund
58,119,59,2025-02-26,2178.84,TRY,transfer
59,674,95,2025-06-29,853.71,TRY,transfer
60,141,90,2025-01-12,1163.55,TRY,refund
61,536,67,2025-09-23,1185.4,TRY,purchase
62,768,100,2025-10-03,5135.89,TRY,purchase
63,790,4,2025-12-10,5653.61,TRY,refund
64,537,9,2025-09-27,4992.02,TRY,transfer
65,643,10,2026-05-24,3197.28,TRY,refund
66,57,64,2026-08-04,1184.83,TRY,purchase
67,262,99,2025-04-16,6261.99,TRY,transfer
68,741,15,2025-08-22,5190.64,TRY,purchase
69,46,2,2025-09-08,340.95,TRY,refund
70,393,20,2025-07-03,6519.5,TRY,purchase
71,567,92,2026-03-06,1587.12,TRY,purchase
72,427,93,2025-11-24,1913.38,TRY,purchase
73,586,48,2025-05-03,3524.25,TRY,purchase
74,184,29,2026-06-13,6870.27,TRY,refund
75,71,60,2025-10-17,5419.22,TRY,refund
76,336,12,2026-07-21,3208.09,TRY,refund
77,206,38,2026-08-01,5495.86,TRY,transfer
78,638,32,2026-04-21,2590.55,TRY,refund
79,792,100,2025-07-20,5132.59,TRY,transfer
80,779,32,2025-06-04,64.52,TRY,refund
81,25,30,2026-07-09,2438.04,TRY,transfer
82,899,2,2025-12-10,30.21,TRY,transfer
83,386,95,2025-11-11,745.56,TRY,transfer
84,244,54,2026-05-19,6729.07,TRY,purchase
85,729,36,2025-04-06,326.42,TRY,purchase
86,919,67,2026-02-27,4911.91,TRY,refund
87,470,96,2025-03-28,4073.78,TRY,transfer
88,137,82,2026-02-08,542.32,TRY,transfer
89,64,56,2025-05-14,1672.67,TRY,refund
90,872,41,2026-02-07,4911.06,TRY,transfer
91,335,41,2026-04-09,1918.25,TRY,purchase
92,967,26,2025-05-20,5463.96,TRY,transfer
93,112,20,2025-04-19,1167.34,TRY,refund
94,322,53,2025-05-04,3760.75,TRY,purchase
95,463,40,2026-04-20,1869.76,TRY,purchase
96,93,21,2025-11-08,5788.18,TRY,transfer
97,618,6,2025-08-09,5854.75,TRY,refund
98,152,12,2025-09-12,6779.43,TRY,refund
99,526,7,2025-11-03,1835.96,TRY,purchase
100,32,52,2026-04-09,3900.56,TRY,transfer
101,256,13,2026-04-19,731.31,TRY,purchase
102,125,2,2025-03-05,5816.0,TRY,purchase
